,open,high,low,close,volume,date
587,146.1900,149.6400,145.6700,148.9000,6377582,2022-11-30
588,145.9100,147.1668,145.7000,146.4900,2754744,2022-11-29
589,147.9800,148.2400,145.9350,146.1800,3538696,2022-11-28
590,148.2700,149.4900,148.1010,148.3700,2075156,2022-11-25
591,149.1000,150.4600,148.3000,148.7500,3658459,2022-11-23
592,147.6000,149.3500,147.0200,149.1000,7062060,2022-11-22
593,147.5500,147.9280,146.4500,146.6800,3476208,2022-11-21
594,146.5600,148.3100,145.9400,147.6400,4661735,2022-11-18
595,143.4100,146.1800,143.2500,146.0900,3955162,2022-11-17
596,144.1300,144.9500,144.0081,144.5200,3445302,2022-11-16
597,144.0800,146.1609,142.0000,144.3400,4727107,2022-11-15
598,142.6300,146.0800,142.1800,144.2000,5245624,2022-11-14
599,141.5000,144.1300,140.9600,143.1700,5871264,2022-11-11
600,140.2600,141.3700,138.2900,141.2300,5389025,2022-11-10
601,137.9500,138.9000,136.9400,137.3900,4720007,2022-11-09
602,139.0000,140.9300,138.7200,140.0400,5042756,2022-11-08
603,136.6400,138.7000,136.5100,138.3400,4043062,2022-11-07
604,135.6500,137.7300,134.9400,136.9600,4177972,2022-11-04
605,136.4200,136.4800,133.9700,134.4700,4442443,2022-11-03
606,137.7500,140.1700,136.8000,136.8300,5365264,2022-11-02
607,138.2500,138.6500,136.7000,138.2000,3590607,2022-11-01
608,138.0600,138.7699,136.5950,138.2900,4915270,2022-10-31
609,135.5600,138.8615,135.2200,138.5100,5965457,2022-10-28
610,135.5500,136.4000,134.4450,134.7700,3993168,2022-10-27
611,133.7200,135.8630,132.8100,135.0100,5140023,2022-10-26
612,132.0000,133.3000,131.3000,132.9300,5957623,2022-10-25
613,130.9000,133.1100,129.8500,132.6900,5610914,2022-10-24
614,128.3900,130.8450,127.5900,129.9000,7201256,2022-10-21
615,126.2500,128.9600,125.1500,128.3000,13623115,2022-10-20
616,122.3600,123.9400,121.9875,122.5100,5906576,2022-10-19
617,123.0000,123.9400,121.8200,122.9400,5120336,2022-10-18
618,121.8000,122.8750,121.4300,121.5200,5458585,2022-10-17
619,121.8000,122.5400,119.8400,120.0400,3763840,2022-10-14
620,116.1000,122.1500,115.5450,121.7900,5837645,2022-10-13
621,118.0000,118.8100,117.2000,117.5700,3338754,2022-10-12
622,117.4600,119.2300,116.9400,117.8000,4043265,2022-10-11
623,119.7900,119.9600,117.0400,117.7500,5990008,2022-10-10
624,121.5000,121.8016,118.0700,118.8200,4499672,2022-10-07
625,124.8800,125.3000,121.7700,122.2300,5074624,2022-10-06
626,124.7100,126.4600,124.2300,125.7400,3212872,2022-10-05
627,122.8000,125.6500,122.5200,125.5000,4566055,2022-10-04
628,120.1600,122.2100,119.6000,121.5100,4261729,2022-10-03
629,121.6600,122.4300,118.6100,118.8100,5346108,2022-09-30
630,121.8500,122.6200,120.5700,121.6300,3817723,2022-09-29
631,121.6500,123.2300,119.8100,122.7600,4996378,2022-09-28
632,122.6000,123.9500,121.0800,121.7400,4117215,2022-09-27
633,122.3000,124.2600,121.7500,122.0100,3987817,2022-09-26
634,124.5300,125.0000,121.7400,122.7100,5195693,2022-09-23
635,124.7600,126.5100,124.4100,125.3100,4038335,2022-09-22
636,126.8900,127.8400,124.9200,124.9300,3389545,2022-09-21
637,126.9000,126.9900,125.5200,126.3000,2837485,2022-09-20
638,126.4900,128.0600,126.2800,127.7300,3981606,2022-09-19
639,124.3600,127.5300,123.8300,127.2700,9839696,2022-09-16
640,127.3900,127.4650,124.9000,125.4900,5141671,2022-09-15
641,127.5000,129.0000,126.8450,127.6900,3819067,2022-09-14
642,129.1400,129.9090,126.7709,127.2500,4565585,2022-09-13
643,130.3300,130.9900,129.8900,130.6600,3741168,2022-09-12
644,128.9000,129.4900,128.0600,129.1900,3293365,2022-09-09
645,127.2000,128.5400,126.5900,128.4700,2964613,2022-09-08
646,126.6900,127.8667,126.2800,127.7100,2401513,2022-09-07
647,127.8000,128.0600,126.3000,126.7200,3345343,2022-09-06
648,130.3000,130.5600,127.2400,127.7900,3040813,2022-09-02
649,128.4000,129.8173,127.7400,129.6600,3396219,2022-09-01
650,129.9200,130.0000,128.4000,128.4500,3490380,2022-08-31
651,130.5600,130.7700,129.2900,129.5800,2407888,2022-08-30
652,129.9900,131.4200,129.5700,130.3100,2751308,2022-08-29
653,134.1000,134.1800,130.3400,130.3800,4185254,2022-08-26
654,133.6500,134.4250,133.0700,133.9800,2706005,2022-08-25
655,134.8900,135.1100,133.1100,133.2300,2855421,2022-08-24
656,135.3700,136.1000,134.7200,134.7400,4141798,2022-08-23
657,137.6500,137.8500,135.4700,135.5500,3093629,2022-08-22
658,138.7500,139.3400,137.6600,138.3700,3155842,2022-08-19
659,137.7900,139.1200,137.7500,139.0700,3177726,2022-08-18
660,136.4600,138.4150,136.3000,137.7900,3667568,2022-08-17
661,134.6000,137.3700,134.4517,136.5600,4313600,2022-08-16
662,132.9600,135.1900,132.2400,134.9300,2791241,2022-08-15
663,132.6200,134.0900,131.9800,134.0100,2767054,2022-08-12
664,132.3600,133.2250,132.0000,132.5400,3501925,2022-08-11
665,130.7500,131.7800,130.3400,131.5000,3663995,2022-08-10
666,129.9200,130.7900,129.1200,129.4700,3495991,2022-08-09
667,133.1000,133.3500,132.0200,132.6100,3825145,2022-08-08
668,131.2500,132.6700,131.0700,132.4800,2586519,2022-08-05
669,132.1500,132.2866,131.0200,131.6400,3179789,2022-08-04
670,131.8200,132.8620,131.3200,132.3400,3088532,2022-08-03
671,132.2000,132.7800,130.5100,131.8100,4403633,2022-08-02
672,130.7500,132.7000,130.7000,132.0400,4142099,2022-08-01
673,129.5200,131.0000,129.3100,130.7900,5786815,2022-07-29
674,128.7500,129.8100,128.6060,129.2200,3913680,2022-07-28
675,127.9700,129.4300,127.5800,129.1200,4175625,2022-07-27
676,128.2600,129.3000,127.6300,128.0800,3645313,2022-07-26
677,128.4400,129.1257,127.9000,128.5400,4702352,2022-07-25
678,127.0300,128.3200,125.7100,128.2500,6467205,2022-07-22
679,128.7500,128.8100,125.1300,127.1500,11975361,2022-07-21
680,130.7000,130.7200,128.0600,129.1800,9882016,2022-07-20
681,131.5800,132.5600,127.7200,130.8800,29690535,2022-07-19
682,140.1500,140.3100,137.7844,138.1300,8231694,2022-07-18
683,140.6800,140.6800,138.6100,139.9200,4519320,2022-07-15
684,135.6000,139.4300,135.0200,139.0600,5298351,2022-07-14
685,137.1800,138.9000,136.8000,137.1800,4123213,2022-07-13
686,140.8400,141.5500,138.5650,139.1800,3235571,2022-07-12
687,140.6200,141.8700,140.1300,141.0000,3912773,2022-07-11
688,140.7600,141.3203,139.8200,140.4700,2820928,2022-07-08
689,138.9100,141.3250,138.8300,140.8300,3897077,2022-07-07
690,138.0000,139.1400,137.1300,138.0800,3237059,2022-07-06
691,139.9700,139.9700,135.2700,137.6200,6274067,2022-07-05
